温度,盐度,DO,pH,COD,石油烃,"无机
氮",磷酸盐
9.525,32.41071429,9.057857143,8.1275,0.8075,8.815714286,89.18678571,7.590357143
17.21785714,31.44,9.035714286,8,0.846428571,1.1325,93.08357143,8.947857143
25.29642857,30.25964286,5.710714286,8.065,0.582142857,9.505714286,108.1914286,6.277857143
20.45714286,31.31,7.528214286,8.034285714,0.765714286,41.9325,121.1625,7.881785714
9.039285714,31.06178571,8.792857143,8.346785714,0.528571429,24.86857143,54.14142857,5.015357143
14.41428571,31.44392857,7.103571429,8.368571429,0.898571429,213.3335714,104.9385714,7.921785714
27.525,30.67678571,7.230357143,8.183214286,0.958571429,18.48785714,37.82178571,19.92571429
19.23214286,29.76678571,7.281785714,8.121071429,0.941785714,26.05428571,62.80035714,20.85892857
12.72857143,30.74964286,8.378214286,8.086071429,0.797857143,9.294285714,264.2957143,13.09357143
26.34285714,29.82357143,6.19,8.125714286,0.828214286,10.71657143,219.0525,13.49821429
18.48571429,29.66071429,6.3675,8.181785714,0.807857143,7.86025,150.6892857,10.63321429
11.43571429,30.20535714,7.364285714,8.163571429,0.691071429,5.871071429,79.65928571,6.068214286
9.770588235,32.45117647,8.994705882,8.15,0.752352941,7.537647059,87.64117647,5.287058824
16.84,31.356,8.942,8,0.67,0.908,80.552,9.698
24.67142857,30.92428571,5.625238095,8.078571429,0.48952381,11.87619048,115.5171429,3.417142857
20.66842105,31.42526316,7.493157895,8.036842105,0.715555556,43.96578947,114.9411111,7.188888889
9.172222222,31.11555556,8.795,8.358333333,0.555555556,26.74666667,49.86333333,6.098888889
13.66470588,31.48764706,7.886470588,8.37,0.859411765,199.2070588,111.4258824,8.902352941
26.45,30.930625,7.020625,8.176875,0.8775,14.679375,37.92,20.64375
19.4,29.84533333,7.348666667,8.072857143,0.827333333,18.986,69.18,22.09466667
12.00666667,30.77466667,8.383333333,8.1,1.714,22.858,275.8686667,15.052
25.986,30.31266667,6.190666667,8.13,0.744666667,9.633333333,216.748,15.06266667
18.84666667,29.89333333,6.438666667,8.165333333,0.714666667,7.659066667,155.468,9.165333333
11.62,30.29466667,7.518666667,8.167333333,0.504666667,5.928666667,80.79333333,6.918
