时间,透明度(m),温度(℃),盐度,DO(mg/L),pH,COD(mg/L),石油烃(μg/L),大肠菌群(个/L),粪大肠菌群(个/L),无机氮(μg/L),叶绿素a(mg/m3),磷酸盐(μg/L),悬浮物(mg/L)
19冬,3.025,9.525,32.41071429,9.057857143,8.1275,0.8075,8.815714286,35,20,89.18678571,/,7.590357143,8.325
20春,3.435714286,17.21785714,31.44,9.035714286,8,0.846428571,1.1325,20,/,93.08357143,1.318571429,8.947857143,9.369285714
20夏,1.810714286,25.29642857,30.25964286,5.710714286,8.065,0.582142857,9.505714286,1016.923077,333.3333333,108.1914286,/,6.277857143,8.964642857
20秋,1.214285714,20.45714286,31.31,7.528214286,8.034285714,0.765714286,41.9325,40,20,121.1625,0.446785714,7.881785714,9.058214286
20冬,1.475,9.039285714,31.06178571,8.792857143,8.346785714,0.528571429,24.86857143,41.42857143,30,54.14142857,/,5.015357143,8.726428571
21春,1.714285714,14.41428571,31.44392857,7.103571429,8.368571429,0.898571429,213.3335714,28.57142857,/,104.9385714,2.278928571,7.921785714,9.369285714
21夏,1.825,27.525,30.67678571,7.230357143,8.183214286,0.958571429,18.48785714,200.4545455,109.0909091,37.82178571,/,19.92571429,8.282857143
21秋,0.921428571,19.23214286,29.76678571,7.281785714,8.121071429,0.941785714,26.05428571,55,32.85714286,62.80035714,2.046785714,20.85892857,9.263571429
22春,3.021428571,12.72857143,30.74964286,8.378214286,8.086071429,0.797857143,9.294285714,35,/,264.2957143,1.704642857,13.09357143,10.37214286
22夏,/,26.34285714,29.82357143,6.19,8.125714286,0.828214286,10.71657143,64.02941176,21.20714286,219.0525,/,13.49821429,10.18964286
22秋,2.485714286,18.48571429,29.66071429,6.3675,8.181785714,0.807857143,7.86025,27.5,35,150.6892857,2.283928571,10.63321429,7.694285714
22冬,1.539285714,11.43571429,30.20535714,7.364285714,8.163571429,0.691071429,5.871071429,20,27.5,79.65928571,/,6.068214286,6.808571429
